Date,Open,High,Low,Close,Adj Close,Volume
4/27/1992,10.03,10.03,10.03,10.03,6.143764,0
4/28/1992,10,10,10,10,6.125384,0
4/29/1992,10,10,10,10,6.125384,0
4/30/1992,10.18,10.18,10.18,10.18,6.235646,0
5/1/1992,10.18,10.18,10.18,10.18,6.235646,0
5/4/1992,10.25,10.25,10.25,10.25,6.278522,0
5/5/1992,10.26,10.26,10.26,10.26,6.284647,0
5/6/1992,10.27,10.27,10.27,10.27,6.290775,0
5/7/1992,10.25,10.25,10.25,10.25,6.278522,0
5/8/1992,10.25,10.25,10.25,10.25,6.278522,0
5/11/1992,10.31,10.31,10.31,10.31,6.315272,0
5/12/1992,10.26,10.26,10.26,10.26,6.284647,0
5/13/1992,10.26,10.26,10.26,10.26,6.284647,0
5/14/1992,10.18,10.18,10.18,10.18,6.235646,0
5/15/1992,10.12,10.12,10.12,10.12,6.198892,0
5/18/1992,10.18,10.18,10.18,10.18,6.235646,0
5/19/1992,10.25,10.25,10.25,10.25,6.278522,0
5/20/1992,10.24,10.24,10.24,10.24,6.272397,0
5/21/1992,10.17,10.17,10.17,10.17,6.229518,0
5/22/1992,10.21,10.21,10.21,10.21,6.254022,0
5/26/1992,10.14,10.14,10.14,10.14,6.211145,0
5/27/1992,10.16,10.16,10.16,10.16,6.223393,0
5/28/1992,10.25,10.25,10.25,10.25,6.278522,0
5/29/1992,10.25,10.25,10.25,10.25,6.278522,0
6/1/1992,10.3,10.3,10.3,10.3,6.309149,0
6/2/1992,10.24,10.24,10.24,10.24,6.272397,0
6/3/1992,10.26,10.26,10.26,10.26,6.284647,0
6/4/1992,10.23,10.23,10.23,10.23,6.266273,0
6/5/1992,10.22,10.22,10.22,10.22,6.260144,0
6/8/1992,10.21,10.21,10.21,10.21,6.254022,0
6/9/1992,10.12,10.12,10.12,10.12,6.198892,0
6/10/1992,10.05,10.05,10.05,10.05,6.156012,0
6/11/1992,10.07,10.07,10.07,10.07,6.168264,0
6/12/1992,10.1,10.1,10.1,10.1,6.186644,0
6/15/1992,10.1,10.1,10.1,10.1,6.186644,0
6/16/1992,10.05,10.05,10.05,10.05,6.156012,0
6/17/1992,9.89,9.89,9.89,9.89,6.05801,0
6/18/1992,9.85,9.85,9.85,9.85,6.033504,0
6/19/1992,9.91,9.91,9.91,9.91,6.07026,0
6/22/1992,9.89,9.89,9.89,9.89,6.05801,0
6/23/1992,9.92,9.92,9.92,9.92,6.076387,0
6/24/1992,9.91,9.91,9.91,9.91,6.07026,0
6/25/1992,9.89,9.89,9.89,9.89,6.05801,0
6/26/1992,9.89,9.89,9.89,9.89,6.05801,0
6/29/1992,10.03,10.03,10.03,10.03,6.143764,0
6/30/1992,10.04,10.04,10.04,10.04,6.149888,0
7/1/1992,10.15,10.15,10.15,10.15,6.217268,0
7/2/1992,10.12,10.12,10.12,10.12,6.198892,0
7/6/1992,10.16,10.16,10.16,10.16,6.223393,0
7/7/1992,10.06,10.06,10.06,10.06,6.162137,0
7/8/1992,10.07,10.07,10.07,10.07,6.168264,0
7/9/1992,10.17,10.17,10.17,10.17,6.229518,0
7/10/1992,10.2,10.2,10.2,10.2,6.247897,0
7/13/1992,10.21,10.21,10.21,10.21,6.254022,0
7/14/1992,10.28,10.28,10.28,10.28,6.296898,0
7/15/1992,10.27,10.27,10.27,10.27,6.290775,0
7/16/1992,10.28,10.28,10.28,10.28,6.296898,0
7/17/1992,10.23,10.23,10.23,10.23,6.266273,0
7/20/1992,10.18,10.18,10.18,10.18,6.235646,0
7/21/1992,10.19,10.19,10.19,10.19,6.241769,0
7/22/1992,10.13,10.13,10.13,10.13,6.205019,0
7/23/1992,10.15,10.15,10.15,10.15,6.217268,0
7/24/1992,10.14,10.14,10.14,10.14,6.211145,0
7/27/1992,10.15,10.15,10.15,10.15,6.217268,0
7/28/1992,10.28,10.28,10.28,10.28,6.296898,0
7/29/1992,10.39,10.39,10.39,10.39,6.364277,0
7/30/1992,10.43,10.43,10.43,10.43,6.388776,0
7/31/1992,10.44,10.44,10.44,10.44,6.394905,0
8/3/1992,10.47,10.47,10.47,10.47,6.413281,0
8/4/1992,10.46,10.46,10.46,10.46,6.407152,0
8/5/1992,10.41,10.41,10.41,10.41,6.376529,0
8/6/1992,10.37,10.37,10.37,10.37,6.352024,0
8/7/1992,10.35,10.35,10.35,10.35,6.339775,0
8/10/1992,10.35,10.35,10.35,10.35,6.339775,0
8/11/1992,10.34,10.34,10.34,10.34,6.333653,0
8/12/1992,10.31,10.31,10.31,10.31,6.315272,0
8/13/1992,10.31,10.31,10.31,10.31,6.315272,0
8/14/1992,10.36,10.36,10.36,10.36,6.345898,0
8/17/1992,10.38,10.38,10.38,10.38,6.358151,0
8/18/1992,10.38,10.38,10.38,10.38,6.358151,0
8/19/1992,10.32,10.32,10.32,10.32,6.321398,0
8/20/1992,10.31,10.31,10.31,10.31,6.315272,0
8/21/1992,10.24,10.24,10.24,10.24,6.272397,0
8/24/1992,10.13,10.13,10.13,10.13,6.205019,0
8/25/1992,10.13,10.13,10.13,10.13,6.205019,0
8/26/1992,10.18,10.18,10.18,10.18,6.235646,0
8/27/1992,10.2,10.2,10.2,10.2,6.247897,0
8/28/1992,10.23,10.23,10.23,10.23,6.266273,0
8/31/1992,10.21,10.21,10.21,10.21,6.254022,0
9/1/1992,10.26,10.26,10.26,10.26,6.284647,0
9/2/1992,10.32,10.32,10.32,10.32,6.321398,0
9/3/1992,10.33,10.33,10.33,10.33,6.327527,0
9/4/1992,10.31,10.31,10.31,10.31,6.315272,0
9/8/1992,10.25,10.25,10.25,10.25,6.278522,0
9/9/1992,10.3,10.3,10.3,10.3,6.309149,0
9/10/1992,10.38,10.38,10.38,10.38,6.358151,0
9/11/1992,10.39,10.39,10.39,10.39,6.364277,0
9/14/1992,10.53,10.53,10.53,10.53,6.450033,0
9/15/1992,10.42,10.42,10.42,10.42,6.382658,0
9/16/1992,10.41,10.41,10.41,10.41,6.376529,0
9/17/1992,10.41,10.41,10.41,10.41,6.376529,0
9/18/1992,10.47,10.47,10.47,10.47,6.413281,0
9/21/1992,10.45,10.45,10.45,10.45,6.401031,0
9/22/1992,10.34,10.34,10.34,10.34,6.333653,0
9/23/1992,10.34,10.34,10.34,10.34,6.333653,0
9/24/1992,10.31,10.31,10.31,10.31,6.352133,0
9/25/1992,10.21,10.21,10.21,10.21,6.290521,0
9/28/1992,10.24,10.24,10.24,10.24,6.309002,0
9/29/1992,10.25,10.25,10.25,10.25,6.315166,0
9/30/1992,10.28,10.28,10.28,10.28,6.333652,0
10/1/1992,10.24,10.24,10.24,10.24,6.309002,0
10/2/1992,10.1,10.1,10.1,10.1,6.22275,0
10/5/1992,10.03,10.03,10.03,10.03,6.179623,0
10/6/1992,10.04,10.04,10.04,10.04,6.185786,0
10/7/1992,9.99,9.99,9.99,9.99,6.154978,0
10/8/1992,10.07,10.07,10.07,10.07,6.204266,0
10/9/1992,9.96,9.96,9.96,9.96,6.136493,0
10/12/1992,10.05,10.05,10.05,10.05,6.191944,0
10/13/1992,10.1,10.1,10.1,10.1,6.22275,0
10/14/1992,10.1,10.1,10.1,10.1,6.22275,0
10/15/1992,10.11,10.11,10.11,10.11,6.228909,0
10/16/1992,10.16,10.16,10.16,10.16,6.259716,0
10/19/1992,10.26,10.26,10.26,10.26,6.321328,0
10/20/1992,10.28,10.28,10.28,10.28,6.333652,0
10/21/1992,10.3,10.3,10.3,10.3,6.34597,0
10/22/1992,10.28,10.28,10.28,10.28,6.333652,0
10/23/1992,10.27,10.27,10.27,10.27,6.327489,0
10/26/1992,10.35,10.35,10.35,10.35,6.376776,0
10/27/1992,10.36,10.36,10.36,10.36,6.382937,0
10/28/1992,10.41,10.41,10.41,10.41,6.413745,0
10/29/1992,10.44,10.44,10.44,10.44,6.432227,0
10/30/1992,10.4,10.4,10.4,10.4,6.407581,0
11/2/1992,10.49,10.49,10.49,10.49,6.463033,0
11/3/1992,10.44,10.44,10.44,10.44,6.432227,0
11/4/1992,10.39,10.39,10.39,10.39,6.401423,0
11/5/1992,10.44,10.44,10.44,10.44,6.432227,0
11/6/1992,10.44,10.44,10.44,10.44,6.432227,0
11/9/1992,10.48,10.48,10.48,10.48,6.456874,0
11/10/1992,10.49,10.49,10.49,10.49,6.463033,0
11/11/1992,10.58,10.58,10.58,10.58,6.518484,0
11/12/1992,10.59,10.59,10.59,10.59,6.524645,0
11/13/1992,10.59,10.59,10.59,10.59,6.524645,0
11/16/1992,10.56,10.56,10.56,10.56,6.50616,0
11/17/1992,10.51,10.51,10.51,10.51,6.475359,0
11/18/1992,10.6,10.6,10.6,10.6,6.530805,0
11/19/1992,10.63,10.63,10.63,10.63,6.549291,0
11/20/1992,10.7,10.7,10.7,10.7,6.592418,0
11/23/1992,10.67,10.67,10.67,10.67,6.573936,0
11/24/1992,10.73,10.73,10.73,10.73,6.610901,0
11/25/1992,10.77,10.77,10.77,10.77,6.635546,0
11/27/1992,10.8,10.8,10.8,10.8,6.65403,0
11/30/1992,10.84,10.84,10.84,10.84,6.678671,0
12/1/1992,10.83,10.83,10.83,10.83,6.672512,0
12/2/1992,10.81,10.81,10.81,10.81,6.660191,0
12/3/1992,10.82,10.82,10.82,10.82,6.66635,0
12/4/1992,10.87,10.87,10.87,10.87,6.697155,0
12/7/1992,10.95,10.95,10.95,10.95,6.746445,0
12/8/1992,10.98,10.98,10.98,10.98,6.764931,0
12/9/1992,10.95,10.95,10.95,10.95,6.746445,0
